"","","#","Nat","Team","TES","PCS","TotalScore","MeanGOE Mark","MeanPCS Mark","Season","Event","Seg"
"1",1,1,"🇫🇷","Papadakis / Cizeron",77.39,59.7,137.09,4.61,9.95,2022,"WC","FD"
"2",2,2,"🇫🇷","Papadakis / Cizeron",77.4,59.18,136.58,4.49,9.84,2020,"GPJPN","FD"
"3",3,3,"🇫🇷","Papadakis / Cizeron",76.75,59.4,136.15,4.61,9.89,2022,"OLY","FD"
"4",4,4,"🇫🇷","Papadakis / Cizeron",76.75,59.27,136.02,4.52,9.86,2020,"GPF","FD"
"5",5,5,"🇫🇷","Papadakis / Cizeron",76.34,59.48,135.82,4.73,9.92,2019,"WTT","FD"
"6",6,6,"🇫🇷","Papadakis / Cizeron",74.88,59.35,134.23,4.53,9.87,2019,"WC","FD"
"7",7,7,"🇫🇷","Papadakis / Cizeron",74.69,58.86,133.55,4.21,9.79,2020,"GPFRA","FD"
"8",8,8,"🇫🇷","Papadakis / Cizeron",74.06,59.13,133.19,4.36,9.85,2019,"EC","FD"
"9",9,9,"🇫🇷","Papadakis / Cizeron",73.76,58.89,132.65,4.39,9.8,2019,"GPFRA","FD"
"10",10,10,"🇫🇷","Papadakis / Cizeron",74.24,58.37,132.61,4.07,9.71,2022,"GPITA","FD"
"11",11,11,"🇫🇷","Papadakis / Cizeron",73.5,58.67,132.17,4.03,9.76,2022,"GPFRA","FD"
"12",12,12,"🇫🇷","Papadakis / Cizeron",73.24,58.72,131.96,4.16,9.77,2022,"FINTRO","FD"
"13",13,13,"🇫🇷","Papadakis / Cizeron",73.4,58.1,131.5,4.07,9.68,2020,"EC","FD"
"14",14,14,"🇫🇷","Papadakis / Cizeron",53.16,39.57,92.73,4.47,9.87,2022,"WC","RD"
"15",15,15,"🇫🇷","Papadakis / Cizeron",51.65,39.18,90.83,4.29,9.79,2022,"OLY","RD"
"16",16,16,"🇫🇷","Papadakis / Cizeron",51.2,38.83,90.03,4.02,9.72,2020,"GPJPN","RD"
"17",17,17,"🇫🇷","Papadakis / Cizeron",50.22,38.86,89.08,4.04,9.71,2022,"GPFRA","RD"
"18",18,18,"🇫🇷","Papadakis / Cizeron",50.33,38.45,88.78,3.84,9.6,2020,"EC","RD"
"19",19,19,"🇫🇷","Papadakis / Cizeron",49.8,38.89,88.69,4.09,9.71,2020,"GPFRA","RD"
"20",20,20,"🇫🇷","Papadakis / Cizeron",49.06,39.36,88.42,4.38,9.84,2019,"WC","RD"
"21",21,21,"🇫🇷","Papadakis / Cizeron",48.77,38.68,87.45,3.91,9.66,2022,"GPITA","RD"
"22",22,22,"🇫🇷","Papadakis / Cizeron",48.06,39.25,87.31,4.27,9.81,2019,"WTT","RD"
"23",23,23,"🇫🇷","Papadakis / Cizeron",47.02,38.56,85.58,3.92,9.63,2022,"FINTRO","RD"
"24",24,24,"🇫🇷","Papadakis / Cizeron",45.84,38.95,84.79,4.09,9.73,2019,"EC","RD"
"25",25,25,"🇫🇷","Papadakis / Cizeron",45.42,38.71,84.13,3.93,9.65,2019,"GPFRA","RD"
"26",26,26,"🇫🇷","Papadakis / Cizeron",45.52,38.31,83.83,3.57,9.57,2020,"GPF","RD"
"27",1,1,"🇷🇺","Sinitsina / Katsalapov",74.57,58.45,133.02,4.11,9.73,2021,"WC","FD"
"28",2,2,"🇷🇺","Sinitsina / Katsalapov",73.55,58.14,131.69,3.93,9.64,2020,"EC","FD"
"29",3,3,"🇷🇺","Sinitsina / Katsalapov",73.43,58.23,131.66,4.04,9.68,2022,"OLY","FD"
"30",4,4,"🇷🇺","Sinitsina / Katsalapov",72.64,57.99,130.63,4.23,9.66,2019,"WTT","FD"
