"","","#","Nat","Team","TES","PCS","TotalScore","MeanGOE Mark","MeanPCS Mark","Season","Event","Seg"
"1",1,1,"🇷🇺","Mishina / Galliamov",81.45,76.01,157.46,3.73,9.48,2022,"EC","FS"
"2",2,2,"🇷🇺","Mishina / Galliamov",79.71,75.24,154.95,3.48,9.38,2022,"OLY","FS"
"3",3,3,"🇷🇺","Mishina / Galliamov",80.63,72.74,153.37,3.6,9.09,2022,"FINTRO","FS"
"4",4,4,"🇷🇺","Mishina / Galliamov",79.09,74.25,153.34,3.35,9.28,2022,"GPRUS","FS"
"5",5,5,"🇷🇺","Mishina / Galliamov",78.96,72.84,151.8,3.25,9.1,2021,"WC","FS"
"6",6,6,"🇷🇺","Mishina / Galliamov",79.43,72.16,151.59,3.23,9.01,2021,"WTT","FS"
"7",7,7,"🇷🇺","Mishina / Galliamov",76.49,72.39,148.88,2.93,9.08,2022,"GPJPN","FS"
"8",8,8,"🇷🇺","Mishina / Galliamov",74.97,72.23,145.2,2.57,8.98,2022,"OLYT","FS"
"9",9,9,"🇷🇺","Mishina / Galliamov",73.05,62.14,135.19,2.24,7.75,2020,"FINTRO","FS"
"10",10,10,"🇷🇺","Mishina / Galliamov",71.6,62.75,134.35,2.35,7.83,2020,"GPJPN","FS"
"11",11,11,"🇷🇺","Mishina / Galliamov",65.52,68.29,133.81,2.18,8.53,2020,"GPFRA","FS"
"12",12,12,"🇷🇺","Mishina / Galliamov",67.27,64.38,131.65,1.91,8.04,2020,"GPF","FS"
"13",13,13,"🇷🇺","Mishina / Galliamov",69.59,62.16,130.75,1.73,7.79,2020,"BAVOPN","FS"
"14",14,14,"🇷🇺","Mishina / Galliamov",69.97,58.4,128.37,2.14,7.31,2019,"ALPTRO","FS"
"15",15,15,"🇷🇺","Mishina / Galliamov",65.84,60.42,126.26,2.8,7.51,2019,"JGPF","FS"
"16",16,16,"🇷🇺","Mishina / Galliamov",64.69,58.8,122.49,2.82,7.38,2019,"JGPCAN","FS"
"17",17,17,"🇷🇺","Mishina / Galliamov",63.3,59.42,121.72,2.16,7.46,2019,"WJC","FS"
"18",18,18,"🇷🇺","Mishina / Galliamov",63.66,57.76,120.42,2.45,7.14,2019,"JGPSVK","FS"
"19",19,19,"🇷🇺","Mishina / Galliamov",44.95,37.81,82.76,3.68,9.43,2022,"OLY","SP"
"20",20,20,"🇷🇺","Mishina / Galliamov",45.22,37.42,82.64,3.73,9.36,2022,"OLYT","SP"
"21",21,21,"🇷🇺","Mishina / Galliamov",44.3,38.06,82.36,3.92,9.5,2022,"EC","SP"
"22",22,22,"🇷🇺","Mishina / Galliamov",42.92,35.48,78.4,3.03,8.88,2022,"GPJPN","SP"
"23",23,23,"🇷🇺","Mishina / Galliamov",40.77,35.02,75.79,3.34,8.75,2021,"WC","SP"
"24",24,24,"🇷🇺","Mishina / Galliamov",44.06,30.93,74.99,2.93,7.72,2020,"FINTRO","SP"
"25",25,25,"🇷🇺","Mishina / Galliamov",41,32.77,73.77,2.72,8.16,2020,"GPFRA","SP"
"26",26,25,"🇷🇺","Mishina / Galliamov",37.93,35.84,73.77,2.55,8.94,2021,"WTT","SP"
"27",27,27,"🇷🇺","Mishina / Galliamov",39.52,35.24,73.76,2.18,8.82,2022,"FINTRO","SP"
"28",28,28,"🇷🇺","Mishina / Galliamov",37.83,35.81,73.64,1.86,8.96,2022,"GPRUS","SP"
"29",29,29,"🇷🇺","Mishina / Galliamov",39.86,31.62,71.48,2.19,7.93,2020,"GPF","SP"
"30",30,29,"🇷🇺","Mishina / Galliamov",40.8,30.68,71.48,2.2,7.69,2020,"BAVOPN","SP"
"31",31,31,"🇷🇺","Mishina / Galliamov",38.6,30.4,69,1.41,7.58,2020,"GPJPN","SP"
"32",32,32,"🇷🇺","Mishina / Galliamov",37.54,29.48,67.02,2.2,7.37,2019,"WJC","SP"
"33",33,33,"🇷🇺","Mishina / Galliamov",37.68,27.54,65.22,2.62,6.85,2019,"JGPCAN","SP"
"34",34,34,"🇷🇺","Mishina / Galliamov",37.4,26.98,64.38,2.41,6.63,2019,"JGPSVK","SP"
"35",35,34,"🇷🇺","Mishina / Galliamov",36.7,27.68,64.38,1.35,6.92,2019,"ALPTRO","SP"
"36",36,36,"🇷🇺","Mishina / Galliamov",35.82,28.55,64.37,1.91,7.14,2019,"JGPF","SP"
"37",1,1,"🇨🇳","Sui / Han",78.76,76.84,155.6,4.02,9.61,2019,"WC","FS"
"38",2,2,"🇨🇳","Sui / Han",78.61,76.86,155.47,3.31,9.59,2022,"OLY","FS"
"39",3,3,"🇨🇳","Sui / Han",74.1,73.99,148.09,2.68,9.25,2021,"WC","FS"
"40",4,4,"🇨🇳","Sui / Han",71.69,75.78,147.47,3.4,9.45,2020,"GPCHN","FS"
"41",5,5,"🇨🇳","Sui / Han",71.91,74.78,145.69,2.85,9.33,2020,"GPJPN","FS"
"42",6,6,"🇨🇳","Sui / Han",72.68,73.43,145.11,2.93,9.16,2022,"GPCAN","FS"
"43",7,7,"🇨🇳","Sui / Han",70.88,73.6,144.48,2.66,9.21,2022,"GPITA","FS"
"44",8,8,"🇨🇳","Sui / Han",71.94,72.4,144.34,2.75,9,2020,"4CC","FS"
"45",9,9,"🇨🇳","Sui / Han",71.35,72.86,144.21,2.53,9.13,2022,"ASNTRO","FS"
"46",10,10,"🇨🇳","Sui / Han",66.45,71.47,136.92,2.4,8.95,2019,"4CC","FS"
"47",11,11,"🇨🇳","Sui / Han",63.12,71.07,134.19,1.8,8.88,2020,"GPF","FS"
