"","","#","Nat","Skater","TES","PCS","TotalScore","MeanGOE Mark","MeanPCS Mark","Season","Event","Seg"
"1",1,1,"🇯🇵","Kaori Sakamoto",80.1,75.67,155.77,3.44,9.46,2022,"WC","FS"
"2",2,2,"🇯🇵","Kaori Sakamoto",80.04,74.79,154.83,3.47,9.32,2022,"NATJPN","FS"
"3",3,3,"🇯🇵","Kaori Sakamoto",80.07,73.84,153.91,3.44,9.22,2021,"GPJPN","FS"
"4",4,4,"🇯🇵","Kaori Sakamoto",78.9,74.39,153.29,3.35,9.3,2022,"OLY","FS"
"5",5,5,"🇯🇵","Kaori Sakamoto",79.11,73.25,152.36,3.44,9.13,2019,"NATJPN","FS"
"6",6,6,"🇯🇵","Kaori Sakamoto",76.08,74.23,150.31,3.08,9.27,2021,"NATJPN","FS"
"7",7,7,"🇯🇵","Kaori Sakamoto",77.17,73.12,150.29,3.18,9.15,2021,"WTT","FS"
"8",8,8,"🇯🇵","Kaori Sakamoto",76.93,71.73,148.66,3,8.96,2022,"OLYT","FS"
"9",9,9,"🇯🇵","Kaori Sakamoto",74.95,71.83,146.78,2.68,8.97,2022,"GPJPN","FS"
"10",10,10,"🇯🇵","Kaori Sakamoto",74.8,71.9,146.7,2.77,8.98,2019,"WTT","FS"
"11",11,11,"🇯🇵","Kaori Sakamoto",72.71,73.26,145.97,3.22,9.16,2019,"WC","FS"
"12",12,12,"🇯🇵","Kaori Sakamoto",74.54,70.23,144.77,2.75,8.75,2022,"GPUSA","FS"
"13",13,13,"🇯🇵","Kaori Sakamoto",75.41,67.2,142.61,2.74,8.42,2019,"GPUSA","FS"
"14",14,14,"🇯🇵","Kaori Sakamoto",74.45,68,141.45,2.31,8.52,2019,"GPF","FS"
"15",15,15,"🇯🇵","Kaori Sakamoto",72.96,67.2,140.16,2.56,8.44,2019,"GPFIN","FS"
"16",16,16,"🇯🇵","Kaori Sakamoto",69.72,67.7,137.42,2.33,8.44,2021,"WC","FS"
"17",17,17,"🇯🇵","Kaori Sakamoto",66.76,68.4,135.16,2.16,8.56,2020,"GPFRA","FS"
"18",18,18,"🇯🇵","Kaori Sakamoto",67.41,67.04,134.45,2.18,8.38,2020,"NEPMEM","FS"
"19",19,19,"🇯🇵","Kaori Sakamoto",66.24,67.19,133.43,2.56,8.42,2019,"4CC","FS"
"20",20,20,"🇯🇵","Kaori Sakamoto",65.04,69.22,133.26,2.34,8.59,2022,"JPNOPN","FS"
"21",21,21,"🇯🇵","Kaori Sakamoto",66.7,64.24,130.94,2.25,8,2019,"LOMTRO","FS"
"22",22,22,"🇯🇵","Kaori Sakamoto",64.9,65.38,130.28,1.9,8.2,2019,"JPNOPN","FS"
"23",23,23,"🇯🇵","Kaori Sakamoto",61.73,68.99,129.72,0.94,8.6,2020,"4CC","FS"
"24",24,24,"🇯🇵","Kaori Sakamoto",61.86,67.36,129.22,2.22,8.46,2020,"GPUSA","FS"
"25",25,25,"🇯🇵","Kaori Sakamoto",58.56,68.02,125.58,1.37,8.47,2022,"ASNTRO","FS"
"26",26,26,"🇯🇵","Kaori Sakamoto",50.73,68.58,118.31,0.57,8.54,2020,"NATJPN","FS"
"27",27,27,"🇯🇵","Kaori Sakamoto",43.25,37.07,80.32,3.71,9.26,2022,"WC","SP"
"28",28,28,"🇯🇵","Kaori Sakamoto",43.22,36.62,79.84,3.71,9.17,2022,"OLY","SP"
"29",29,29,"🇯🇵","Kaori Sakamoto",42.97,36.26,79.23,3.56,9.06,2022,"NATJPN","SP"
"30",30,30,"🇯🇵","Kaori Sakamoto",41.94,35.84,77.78,3.27,8.94,2021,"WTT","SP"
"31",31,31,"🇯🇵","Kaori Sakamoto",40.95,36,76.95,3.44,9.01,2019,"WTT","SP"
"32",32,32,"🇯🇵","Kaori Sakamoto",41.98,34.88,76.86,3.76,8.74,2019,"WC","SP"
"33",33,33,"🇯🇵","Kaori Sakamoto",41.97,34.73,76.7,3.25,8.67,2022,"ASNTRO","SP"
"34",34,34,"🇯🇵","Kaori Sakamoto",40.76,35.8,76.56,3.3,8.93,2022,"GPJPN","SP"
"35",35,35,"🇯🇵","Kaori Sakamoto",41.08,34.57,75.65,3.54,8.63,2019,"NATJPN","SP"
"36",36,36,"🇯🇵","Kaori Sakamoto",40.6,35,75.6,3.53,8.67,2021,"GPJPN","SP"
"37",37,37,"🇯🇵","Kaori Sakamoto",39.98,33.38,73.36,3.11,8.4,2019,"4CC","SP"
"38",38,38,"🇯🇵","Kaori Sakamoto",38.97,34.28,73.25,2.89,8.52,2020,"GPUSA","SP"
"39",39,39,"🇯🇵","Kaori Sakamoto",37.63,35.44,73.07,2.61,8.84,2020,"4CC","SP"
"40",40,40,"🇯🇵","Kaori Sakamoto",36.72,35.14,71.86,3.28,8.79,2021,"NATJPN","SP"
"41",41,41,"🇯🇵","Kaori Sakamoto",37.92,33.37,71.29,2.86,8.37,2019,"GPUSA","SP"
"42",42,42,"🇯🇵","Kaori Sakamoto",36.52,34.64,71.16,2.87,8.67,2022,"GPUSA","SP"
"43",43,43,"🇯🇵","Kaori Sakamoto",36.14,34.24,70.38,2.37,8.56,2021,"WC","SP"
"44",44,44,"🇯🇵","Kaori Sakamoto",37.23,33,70.23,2.66,8.23,2019,"GPF","SP"
"45",45,45,"🇯🇵","Kaori Sakamoto",35.03,34.92,69.95,2.76,8.72,2020,"NATJPN","SP"
"46",46,46,"🇯🇵","Kaori Sakamoto",31.88,33.2,64.08,1.1,8.27,2020,"GPFRA","SP"
"47",47,47,"🇯🇵","Kaori Sakamoto",29.77,31.2,59.97,1.29,7.79,2020,"NEPMEM","SP"
"48",48,48,"🇯🇵","Kaori Sakamoto",26.93,32.33,57.26,0.54,8.06,2019,"GPFIN","SP"
"49",49,49,"🇯🇵","Kaori Sakamoto",20.63,30.28,49.91,0.17,7.51,2019,"LOMTRO","SP"
"50",1,1,"🇷🇺","Alexandra Trusova",106.16,70.97,177.13,1.7,8.87,2022,"OLY","FS"
"51",2,2,"🇷🇺","Alexandra Trusova",101.34,74.1,174.44,1.89,9.28,2022,"NATRUS","FS"
"52",3,3,"🇷🇺","Alexandra Trusova",102.89,70.32,171.21,1.76,8.74,2021,"RUSCUP4","FS"
"53",4,4,"🇷🇺","Alexandra Trusova",97.75,72.86,170.61,2.9,9.11,2021,"NATRUS","FS"
"54",5,5,"🇷🇺","Alexandra Trusova",100.2,67.42,166.62,2.06,8.46,2020,"GPCAN","FS"
"55",6,6,"🇷🇺","Alexandra Trusova",94.46,71.36,164.82,1.73,8.92,2021,"RUSCUP2","FS"
"56",7,7,"🇷🇺","Alexandra Trusova",92.68,71.76,164.44,3.44,8.96,2019,"NATRUS","FS"
"57",8,8,"🇷🇺","Alexandra Trusova",98.34,65.44,163.78,2.48,8.14,2020,"NEPMEM","FS"
"58",9,9,"🇷🇺","Alexandra Trusova",96.8,65.93,161.73,1.96,8.26,2020,"GPF","FS"
"59",10,10,"🇷🇺","Alexandra Trusova",97.51,63.02,160.53,1.64,7.86,2020,"JPNOPN","FS"
"60",11,11,"🇷🇺","Alexandra Trusova",95.34,66.92,160.26,1.27,8.37,2020,"GPRUS","FS"
"61",12,12,"🇷🇺","Alexandra Trusova",91.68,69.55,159.23,1.46,8.62,2022,"EC","FS"
"62",13,13,"🇷🇺","Alexandra Trusova",92.47,66.24,157.71,2.2,8.26,2019,"RUSCUP4","FS"
"63",14,14,"🇷🇺","Alexandra Trusova",90.22,65.53,154.75,2.31,8.18,2019,"NATRUS","FS"
"64",15,15,"🇷🇺","Alexandra Trusova",85.68,69,154.68,2.47,8.63,2022,"GPUSA","FS"
"65",16,16,"🇷🇺","Alexandra Trusova",88.04,66.34,152.38,0.6,8.28,2021,"WC","FS"
"66",17,17,"🇷🇺","Alexandra Trusova",86.96,64.44,150.4,1.93,8.06,2019,"WJC","FS"
"67",18,18,"🇷🇺","Alexandra Trusova",85.14,67.25,150.39,1.43,8.37,2020,"EC","FS"
"68",19,19,"🇷🇺","Alexandra Trusova",82.74,69.14,149.88,1.76,8.62,2020,"NATRUS","FS"
"69",20,20,"🇷🇺","Alexandra Trusova",85.27,61.54,146.81,3.05,7.67,2019,"JGPARM","FS"
"70",21,21,"🇷🇺","Alexandra Trusova",86.26,61.44,146.7,2.13,7.61,2019,"JGPLTU","FS"
"71",22,22,"🇷🇺","Alexandra Trusova",78.65,64.4,142.05,0.27,8.06,2022,"USCLA","FS"
"72",23,23,"🇷🇺","Alexandra Trusova",79.41,62.36,140.77,1.12,7.75,2019,"JGPF","FS"
"73",24,24,"🇷🇺","Alexandra Trusova",67.8,66.32,128.12,-0.91,8.27,2021,"GPRUS","FS"
"74",25,25,"🇷🇺","Alexandra Trusova",42.21,35.48,77.69,3.27,8.86,2022,"GPUSA","SP"
"75",26,26,"🇷🇺","Alexandra Trusova",43.1,34.32,77.42,2.27,8.56,2021,"RUSCUP4","SP"
"76",27,27,"🇷🇺","Alexandra Trusova",41.63,34.83,76.46,3.38,8.71,2020,"NATRUS","SP"
"77",28,28,"🇷🇺","Alexandra Trusova",40.81,34.96,75.77,2.2,8.77,2021,"RUSCUP2","SP"
"78",29,29,"🇷🇺","Alexandra Trusova",40.31,35.45,75.76,3.08,8.88,2021,"NATRUS","SP"
"79",30,30,"🇷🇺","Alexandra Trusova",41.44,34.69,75.13,1.98,8.67,2022,"EC","SP"
"80",31,31,"🇷🇺","Alexandra Trusova",42.79,32.17,74.96,3.13,8.04,2019,"NATRUS","SP"
"81",32,32,"🇷🇺","Alexandra Trusova",40.53,34.42,74.95,2.75,8.58,2020,"EC","SP"
"82",33,33,"🇷🇺","Alexandra Trusova",42.71,32.2,74.91,3.24,8.06,2020,"NEPMEM","SP"
"83",34,34,"🇷🇺","Alexandra Trusova",41.83,33.92,74.75,2.14,8.49,2022,"USCLA","SP"
"84",35,35,"🇷🇺","Alexandra Trusova",44.06,30.68,74.74,3.94,7.67,2019,"JGPLTU","SP"
"85",36,36,"🇷🇺","Alexandra Trusova",40.12,35.48,74.6,1.84,8.86,2022,"OLY","SP"
"86",37,37,"🇷🇺","Alexandra Trusova",42.37,32.16,74.53,3.35,8.01,2019,"RUSCUP4","SP"
"87",38,37,"🇷🇺","Alexandra Trusova",40.37,35.16,74.53,1.81,8.8,2022,"RUSCUP1","SP"
"88",39,39,"🇷🇺","Alexandra Trusova",42.88,31.55,74.43,3.11,7.92,2019,"JGPF","SP"
"89",40,40,"🇷🇺","Alexandra Trusova",40.96,33.44,74.4,3.24,8.4,2020,"GPCAN","SP"
"90",41,41,"🇷🇺","Alexandra Trusova",40.29,33.92,74.21,2.82,8.45,2020,"GPRUS","SP"
"91",42,41,"🇷🇺","Alexandra Trusova",39.61,35.6,74.21,1.71,8.91,2022,"NATRUS","SP"
"92",43,43,"🇷🇺","Alexandra Trusova",44.18,30.01,74.19,3.59,7.47,2019,"JGPARM","SP"
"93",44,44,"🇷🇺","Alexandra Trusova",41.15,31.34,72.49,3.16,7.81,2019,"WJC","SP"
"94",45,45,"🇷🇺","Alexandra Trusova",39.65,32.8,71.45,1.92,8.18,2020,"GPF","SP"
"95",46,46,"🇷🇺","Alexandra Trusova",36.69,35.12,70.81,1.62,8.76,2021,"GPRUS","SP"
"96",47,47,"🇷🇺","Alexandra Trusova",36.55,34,69.55,2.29,8.48,2019,"NATRUS","SP"
"97",48,48,"🇷🇺","Alexandra Trusova",30.34,34.48,64.82,1.82,8.63,2021,"WC","SP"
